Trans. Id,Belt,Shoe,Perfume,Dress,Shirt,Jackets,Trouser,Tie,Wallet,TravelBag,NailPolish,Socks,Hats,Fitbit
1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
2,0,0,1,0,1,0,1,1,0,0,1,1,0,0
3,0,1,0,0,1,1,1,1,1,1,1,1,1,0
4,0,0,1,1,1,0,1,0,0,0,1,0,0,1
5,0,1,0,0,1,0,1,1,1,1,0,1,1,0
6,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7,0,1,1,1,1,0,1,1,1,1,1,1,0,0
8,0,0,1,1,0,0,1,0,1,1,0,1,0,0
9,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10,1,1,1,1,0,0,0,0,1,1,0,0,0,0
11,0,0,1,0,0,0,1,0,0,0,0,1,1,1
12,0,0,1,1,1,0,1,0,1,1,1,0,0,0
13,0,1,0,0,1,0,0,1,1,1,0,1,0,0
14,0,1,1,1,1,0,1,1,1,1,1,1,1,0
15,0,1,0,0,1,0,1,1,1,1,1,1,1,1
16,0,0,1,1,1,0,1,1,1,1,1,1,1,1
17,1,1,1,1,1,0,1,1,1,1,0,0,0,1
18,0,0,0,0,1,0,0,0,0,0,1,1,1,1
19,0,1,1,0,1,1,0,0,1,1,0,0,1,0
20,0,1,0,0,1,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
2,0,0,1,0,1,0,1,1,0,0,1,1,0,0
3,0,1,0,0,1,1,1,1,1,1,1,1,1,0
4,0,0,1,1,1,0,1,0,0,0,1,0,0,1
5,0,1,0,0,1,0,1,1,1,1,0,1,1,0
6,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7,0,1,1,1,1,0,1,1,1,1,1,1,0,0
8,0,0,1,1,0,0,1,0,1,1,0,1,0,0
9,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10,1,1,1,1,0,0,0,0,1,1,0,0,0,0
11,0,0,1,0,0,0,1,0,0,0,0,1,1,1
12,0,0,1,1,1,0,1,0,1,1,1,0,0,0
13,0,1,0,0,1,0,0,1,1,1,0,1,0,0
14,0,1,1,1,1,0,1,1,1,1,1,1,1,0
15,0,1,0,0,1,0,1,1,1,1,1,1,1,1
16,0,0,1,1,1,0,1,1,1,1,1,1,1,1
17,1,1,1,1,1,0,1,1,1,1,0,0,0,1
18,0,0,0,0,1,0,0,0,0,0,1,1,1,1
19,0,1,1,0,1,1,0,0,1,1,0,0,1,0
20,0,1,0,0,1,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
2,0,0,1,0,1,0,1,1,0,0,1,1,0,0
3,0,1,0,0,1,1,1,1,1,1,1,1,1,0
4,0,0,1,1,1,0,1,0,0,0,1,0,0,1
5,0,1,0,0,1,0,1,1,1,1,0,1,1,0
6,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7,0,1,1,1,1,0,1,1,1,1,1,1,0,0
8,0,0,1,1,0,0,1,0,1,1,0,1,0,0
9,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10,1,1,1,1,0,0,0,0,1,1,0,0,0,0
11,0,0,1,0,0,0,1,0,0,0,0,1,1,1
12,0,0,1,1,1,0,1,0,1,1,1,0,0,0
13,0,1,0,0,1,0,0,1,1,1,0,1,0,0
14,0,1,1,1,1,0,1,1,1,1,1,1,1,0
15,0,1,0,0,1,0,1,1,1,1,1,1,1,1
16,0,0,1,1,1,0,1,1,1,1,1,1,1,1
17,1,1,1,1,1,0,1,1,1,1,0,0,0,1
18,0,0,0,0,1,0,0,0,0,0,1,1,1,1
19,0,1,1,0,1,1,0,0,1,1,0,0,1,0
20,0,1,0,0,1,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
2,0,0,1,0,1,0,1,1,0,0,1,1,0,0
3,0,1,0,0,1,1,1,1,1,1,1,1,1,0
4,0,0,1,1,1,0,1,0,0,0,1,0,0,1
5,0,1,0,0,1,0,1,1,1,1,0,1,1,0
6,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7,0,1,1,1,1,0,1,1,1,1,1,1,0,0
8,0,0,1,1,0,0,1,0,1,1,0,1,0,0
9,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10,1,1,1,1,0,0,0,0,1,1,0,0,0,0
11,0,0,1,0,0,0,1,0,0,0,0,1,1,1
12,0,0,1,1,1,0,1,0,1,1,1,0,0,0
13,0,1,0,0,1,0,0,1,1,1,0,1,0,0
14,0,1,1,1,1,0,1,1,1,1,1,1,1,0
15,0,1,0,0,1,0,1,1,1,1,1,1,1,1
16,0,0,1,1,1,0,1,1,1,1,1,1,1,1
17,1,1,1,1,1,0,1,1,1,1,0,0,0,1
18,0,0,0,0,1,0,0,0,0,0,1,1,1,1
19,0,1,1,0,1,1,0,0,1,1,0,0,1,0
20,0,1,0,0,1,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
2,0,0,1,0,1,0,1,1,0,0,1,1,0,0
3,0,1,0,0,1,1,1,1,1,1,1,1,1,0
4,0,0,1,1,1,0,1,0,0,0,1,0,0,1
5,0,1,0,0,1,0,1,1,1,1,0,1,1,0
6,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7,0,1,1,1,1,0,1,1,1,1,1,1,0,0
8,0,0,1,1,0,0,1,0,1,1,0,1,0,0
9,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10,1,1,1,1,0,0,0,0,1,1,0,0,0,0
11,0,0,1,0,0,0,1,0,0,0,0,1,1,1
12,0,0,1,1,1,0,1,0,1,1,1,0,0,0
13,0,1,0,0,1,0,0,1,1,1,0,1,0,0
14,0,1,1,1,1,0,1,1,1,1,1,1,1,0
15,0,1,0,0,1,0,1,1,1,1,1,1,1,1
16,0,0,1,1,1,0,1,1,1,1,1,1,1,1
17,1,1,1,1,1,0,1,1,1,1,0,0,0,1
18,0,0,0,0,1,0,0,0,0,0,1,1,1,1
19,0,1,1,0,1,1,0,0,1,1,0,0,1,0
20,0,1,0,0,1,0,1,0,1,0,1,0,1,1
